Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack,speakToMe,459.5361,3,54869,0.012407943000000001,16,"{'n10': 38, 'n1': 96, 'n12': 200}","{('n1', 'n12'): 8.4, ('n10', 'n1'): 8.0, ('n10', 'n6'): 4.0, ('n1', 'n10'): 1.6, ('n12', 'n1'): 2.0, ('n12', 'n10'): 2.4000000000000004, ('n7', 'n1'): 2.0}",4.4262,85.9859
binpack_num,speakToMe,86.05130000000001,2,52796,0.013162175,16,"{'n10': 38, 'n0': 296}","{('n10', 'n0'): 8.0, ('n10', 'n6'): 4.0, ('n0', 'n10'): 4.0, ('n7', 'n0'): 2.0}",-410.3887,25.1613
ortools,speakToMe,439.1961,7,478,0.045,16,"{'n10': 8, 'n9': 20, 'n4': 30, 'n5': 4, 'n14': 22, 'n1': 50, 'n12': 200}","{('n9', 'n12'): 6.4, ('n4', 'n9'): 6.4, ('n10', 'n1'): 1.6, ('n4', 'n10'): 5.6, ('n4', 'n6'): 4.0, ('n10', 'n4'): 1.6, ('n14', 'n4'): 1.6, ('n5', 'n14'): 1.0, ('n12', 'n5'): 2.0, ('n12', 'n10'): 2.4000000000000004, ('n14', 'n12'): 2.0, ('n7', 'n14'): 2.0}",0.0,85.3369
ortools_num,speakToMe,64.3997,5,3564,2.169,16,"{'n3': 58, 'n6': 20, 'n0': 106, 'n8': 50, 'n15': 100}","{('n3', 'n0'): 9.0, ('n3', 'n8'): 1.6, ('n3', 'n6'): 4.0, ('n0', 'n3'): 3.2, ('n15', 'n3'): 4.4, ('n6', 'n15'): 2.0, ('n7', 'n6'): 2.0}",-581.9847,0.0
binpack,speakToMe,246.35010000000003,4,72416,0.013674418,32,"{'n17': 8, 'n12': 96, 'n26': 30, 'n22': 200}","{('n12', 'n22'): 8.4, ('n26', 'n12'): 6.4, ('n17', 'n12'): 1.6, ('n26', 'n17'): 5.6, ('n26', 'n5'): 4.0, ('n17', 'n26'): 1.6, ('n12', 'n26'): 1.6, ('n22', 'n12'): 2.0, ('n22', 'n17'): 2.4000000000000004, ('n4', 'n12'): 2.0}",3.7818,73.8585
binpack_num,speakToMe,86.05130000000001,2,62744,0.011587495,32,"{'n4': 38, 'n22': 296}","{('n4', 'n22'): 10.0, ('n4', 'n5'): 4.0, ('n22', 'n4'): 4.0}",-175.4563,25.1613
ortools,speakToMe,237.0337,7,2028,0.191,32,"{'n26': 34, 'n11': 40, 'n16': 4, 'n17': 4, 'n30': 2, 'n12': 50, 'n22': 200}","{('n11', 'n22'): 8.4, ('n26', 'n11'): 6.4, ('n26', 'n12'): 1.6, ('n26', 'n5'): 4.0, ('n17', 'n26'): 1.6, ('n26', 'n17'): 1.6, ('n30', 'n26'): 1.6, ('n16', 'n30'): 1.0, ('n22', 'n16'): 2.0, ('n22', 'n26'): 2.4000000000000004, ('n4', 'n11'): 2.0}",0.0,72.831
ortools_num,speakToMe,64.3997,9,13772,3.644,32,"{'n12': 22, 'n27': 20, 'n14': 34, 'n2': 2, 'n5': 4, 'n0': 2, 'n28': 50, 'n22': 100, 'n10': 100}","{('n27', 'n22'): 6.4, ('n14', 'n27'): 6.4, ('n12', 'n28'): 1.0, ('n14', 'n12'): 4.0, ('n14', 'n5'): 5.6, ('n5', 'n14'): 1.6, ('n0', 'n14'): 1.6, ('n14', 'n0'): 1.0, ('n10', 'n14'): 2.0, ('n2', 'n28'): 0.6000000000000001, ('n10', 'n2'): 2.4000000000000004, ('n12', 'n10'): 2.0, ('n4', 'n12'): 2.0}",-268.0665,0.0
binpack,speakToMe,230.9327,4,113488,0.020216146000000004,64,"{'n4': 38, 'n10': 90, 'n46': 6, 'n20': 200}","{('n10', 'n20'): 8.4, ('n4', 'n10'): 8.0, ('n4', 'n3'): 4.0, ('n46', 'n4'): 1.6, ('n20', 'n46'): 2.0, ('n20', 'n4'): 2.4000000000000004, ('n7', 'n10'): 2.0}",12.3006,72.1132
binpack_num,speakToMe,86.05130000000001,2,87609,0.016435856,64,"{'n23': 38, 'n25': 296}","{('n23', 'n25'): 8.0, ('n23', 'n3'): 4.0, ('n25', 'n23'): 4.0, ('n7', 'n25'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,6,6104,0.828,64,"{'n30': 34, 'n59': 90, 'n6': 4, 'n41': 4, 'n25': 2, 'n20': 200}","{('n59', 'n20'): 8.4, ('n30', 'n59'): 8.0, ('n30', 'n3'): 4.0, ('n41', 'n30'): 1.6, ('n30', 'n41'): 1.6, ('n25', 'n30'): 1.6, ('n6', 'n25'): 1.0, ('n20', 'n6'): 2.0, ('n20', 'n30'): 2.4000000000000004, ('n7', 'n59'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,54156,9.236,64,"{'n42': 2, 'n54': 24, 'n56': 30, 'n2': 2, 'n59': 20, 'n17': 4, 'n45': 2, 'n20': 50, 'n37': 100, 'n51': 100}","{('n54', 'n37'): 6.4, ('n56', 'n54'): 6.4, ('n42', 'n20'): 1.0, ('n56', 'n42'): 4.0, ('n56', 'n3'): 4.0, ('n17', 'n56'): 1.6, ('n56', 'n17'): 1.6, ('n45', 'n56'): 1.6, ('n54', 'n45'): 1.0, ('n51', 'n54'): 2.0, ('n2', 'n20'): 0.6000000000000001, ('n51', 'n2'): 2.4000000000000004, ('n59', 'n51'): 2.0, ('n7', 'n59'): 2.0}",-214.4839,0.0
binpack,speakToMe,230.9327,4,293923,0.056593068000000024,128,"{'n34': 38, 'n108': 90, 'n63': 6, 'n0': 200}","{('n108', 'n0'): 8.4, ('n34', 'n108'): 8.0, ('n34', 'n6'): 4.0, ('n63', 'n34'): 1.6, ('n0', 'n63'): 2.0, ('n0', 'n34'): 2.4000000000000004, ('n2', 'n108'): 2.0}",12.3006,72.1132
binpack_num,speakToMe,86.05130000000001,2,181973,0.036352176999999986,128,"{'n34': 38, 'n0': 296}","{('n34', 'n0'): 8.0, ('n34', 'n6'): 4.0, ('n0', 'n34'): 4.0, ('n2', 'n0'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,7,22180,3.994,128,"{'n14': 34, 'n99': 40, 'n114': 4, 'n62': 4, 'n105': 2, 'n7': 50, 'n67': 200}","{('n99', 'n67'): 8.4, ('n14', 'n99'): 6.4, ('n14', 'n7'): 1.6, ('n14', 'n6'): 4.0, ('n62', 'n14'): 1.6, ('n14', 'n62'): 1.6, ('n105', 'n14'): 1.6, ('n114', 'n105'): 1.0, ('n67', 'n114'): 2.0, ('n67', 'n14'): 2.4000000000000004, ('n2', 'n99'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,9,214796,27.564,128,"{'n61': 4, 'n73': 20, 'n119': 30, 'n6': 4, 'n118': 20, 'n13': 4, 'n32': 102, 'n45': 50, 'n39': 100}","{('n73', 'n39'): 6.4, ('n119', 'n73'): 6.4, ('n61', 'n45'): 1.6, ('n119', 'n61'): 4.0, ('n119', 'n6'): 4.0, ('n13', 'n119'): 1.6, ('n119', 'n13'): 1.6, ('n32', 'n119'): 1.6, ('n6', 'n32'): 1.0, ('n32', 'n6'): 2.0, ('n32', 'n61'): 2.4000000000000004, ('n118', 'n32'): 2.0, ('n2', 'n118'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,475471,0.11127618299999997,256,"{'n182': 38, 'n212': 296}","{('n182', 'n212'): 8.0, ('n182', 'n10'): 4.0, ('n212', 'n182'): 4.0, ('n7', 'n212'): 2.0}",-135.3558,25.1613
binpack,speakToMe,230.9327,4,970010,0.206293599,256,"{'n182': 38, 'n123': 42, 'n214': 54, 'n199': 200}","{('n123', 'n199'): 8.4, ('n182', 'n123'): 6.4, ('n182', 'n214'): 1.6, ('n182', 'n10'): 4.0, ('n123', 'n182'): 1.6, ('n214', 'n123'): 1.0, ('n199', 'n214'): 2.0, ('n199', 'n182'): 2.4000000000000004, ('n7', 'n123'): 2.0}",12.3006,72.1132
ortools,speakToMe,202.5267,6,84786,11.508,256,"{'n184': 34, 'n158': 40, 'n124': 54, 'n163': 4, 'n196': 2, 'n209': 200}","{('n158', 'n209'): 8.4, ('n184', 'n158'): 6.4, ('n184', 'n124'): 1.6, ('n184', 'n10'): 4.0, ('n163', 'n184'): 1.6, ('n184', 'n163'): 1.6, ('n196', 'n184'): 1.6, ('n124', 'n196'): 1.0, ('n209', 'n124'): 2.0, ('n209', 'n184'): 2.4000000000000004, ('n7', 'n158'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,10,855564,168.311,256,"{'n88': 2, 'n45': 50, 'n158': 4, 'n250': 2, 'n4': 20, 'n213': 4, 'n18': 2, 'n169': 50, 'n161': 100, 'n223': 100}","{('n45', 'n161'): 6.4, ('n88', 'n169'): 1.0, ('n45', 'n88'): 4.0, ('n45', 'n10'): 4.0, ('n213', 'n45'): 1.6, ('n45', 'n213'): 1.6, ('n18', 'n45'): 1.6, ('n158', 'n18'): 1.0, ('n223', 'n158'): 2.0, ('n250', 'n169'): 0.6000000000000001, ('n223', 'n250'): 2.4000000000000004, ('n4', 'n223'): 2.0, ('n7', 'n4'): 2.0}",-214.4839,0.0
binpack,speakToMe,209.63030000000003,5,3542808,0.794389442,512,"{'n190': 8, 'n56': 46, 'n374': 30, 'n97': 50, 'n28': 200}","{('n56', 'n28'): 8.4, ('n374', 'n56'): 6.4, ('n190', 'n97'): 1.6, ('n374', 'n190'): 5.6, ('n374', 'n7'): 4.0, ('n190', 'n374'): 1.6, ('n56', 'n374'): 1.6, ('n28', 'n56'): 2.0, ('n28', 'n190'): 2.4000000000000004, ('n8', 'n56'): 2.0}",3.3886,69.2794
binpack_num,speakToMe,86.05130000000001,2,1734554,0.4222161179999997,512,"{'n253': 38, 'n93': 296}","{('n253', 'n93'): 8.0, ('n253', 'n7'): 4.0, ('n93', 'n253'): 4.0, ('n8', 'n93'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,6,333380,87.07,512,"{'n470': 34, 'n125': 90, 'n65': 4, 'n176': 4, 'n488': 2, 'n464': 200}","{('n125', 'n464'): 8.4, ('n470', 'n125'): 8.0, ('n470', 'n7'): 4.0, ('n176', 'n470'): 1.6, ('n470', 'n176'): 1.6, ('n488', 'n470'): 1.6, ('n65', 'n488'): 1.0, ('n464', 'n65'): 2.0, ('n464', 'n470'): 2.4000000000000004, ('n8', 'n125'): 2.0}",0.0,68.2019
