Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack_num,speakToMe,86.05130000000001,2,53103,0.010429942000000001,16,"{'n2': 38, 'n6': 296}","{('n2', 'n6'): 8.0, ('n2', 'n4'): 4.0, ('n6', 'n2'): 4.0}",,25.1613
ortools_num,speakToMe,64.3997,6,3564,0.979,16,"{'n4': 6, 'n7': 20, 'n1': 30, 'n2': 22, 'n3': 154, 'n15': 102}","{('n7', 'n15'): 6.4, ('n1', 'n7'): 6.4, ('n4', 'n3'): 1.0, ('n1', 'n4'): 8.0, ('n3', 'n1'): 1.6, ('n1', 'n3'): 1.6, ('n15', 'n1'): 1.6, ('n4', 'n15'): 1.0, ('n3', 'n4'): 2.0, ('n2', 'n3'): 2.6, ('n3', 'n2'): 2.4000000000000004, ('n6', 'n2'): 2.0}",,0.0
binpack,speakToMe,230.9327,5,68560,0.012578721000000001,32,"{'n13': 8, 'n31': 42, 'n26': 30, 'n6': 54, 'n17': 200}","{('n31', 'n17'): 8.4, ('n26', 'n31'): 6.4, ('n13', 'n6'): 1.6, ('n26', 'n13'): 5.6, ('n26', 'n11'): 4.0, ('n13', 'n26'): 1.6, ('n31', 'n26'): 1.6, ('n6', 'n31'): 1.0, ('n17', 'n6'): 2.0, ('n17', 'n13'): 2.4000000000000004, ('n0', 'n31'): 2.0}",3.0173,72.1132
binpack_num,speakToMe,86.05130000000001,2,59922,0.011424058,32,"{'n26': 38, 'n5': 296}","{('n26', 'n5'): 8.0, ('n26', 'n11'): 4.0, ('n5', 'n26'): 4.0, ('n0', 'n5'): 2.0}",-160.2688,25.1613
ortools,speakToMe,223.9647,5,2088,0.167,32,"{'n13': 38, 'n4': 44, 'n5': 2, 'n6': 50, 'n17': 200}","{('n4', 'n17'): 8.4, ('n13', 'n4'): 6.4, ('n13', 'n6'): 1.6, ('n13', 'n11'): 4.0, ('n5', 'n13'): 1.6, ('n4', 'n5'): 1.0, ('n17', 'n4'): 2.0, ('n17', 'n13'): 2.4000000000000004, ('n0', 'n4'): 2.0}",0.0,71.2456
ortools_num,speakToMe,64.3997,8,13772,2.662,32,"{'n15': 2, 'n8': 42, 'n6': 30, 'n26': 4, 'n27': 54, 'n22': 2, 'n5': 100, 'n11': 100}","{('n8', 'n5'): 6.4, ('n6', 'n8'): 6.4, ('n15', 'n27'): 1.0, ('n6', 'n15'): 4.0, ('n6', 'n11'): 4.0, ('n27', 'n6'): 1.6, ('n6', 'n27'): 1.6, ('n22', 'n6'): 1.6, ('n26', 'n22'): 1.0, ('n11', 'n26'): 2.0, ('n8', 'n27'): 0.6000000000000001, ('n11', 'n8'): 2.4000000000000004, ('n8', 'n11'): 2.0, ('n0', 'n8'): 2.0}",-247.7729,0.0
binpack_num,speakToMe,86.05130000000001,2,83709,0.016365589,64,"{'n47': 38, 'n42': 296}","{('n47', 'n42'): 8.0, ('n47', 'n5'): 4.0, ('n42', 'n47'): 4.0, ('n3', 'n42'): 2.0}",-135.3558,25.1613
binpack,speakToMe,209.64350000000005,4,118692,0.020562917,64,"{'n39': 8, 'n32': 92, 'n3': 30, 'n58': 204}","{('n32', 'n58'): 8.4, ('n3', 'n32'): 8.4, ('n39', 'n32'): 1.6, ('n3', 'n39'): 5.6, ('n3', 'n5'): 4.0, ('n39', 'n3'): 1.6, ('n32', 'n3'): 1.6, ('n58', 'n32'): 1.0, ('n58', 'n39'): 2.4000000000000004}",3.3947,69.2813
ortools,speakToMe,202.5267,7,6933,0.527,64,"{'n51': 34, 'n34': 40, 'n7': 4, 'n39': 4, 'n10': 2, 'n43': 50, 'n5': 200}","{('n34', 'n5'): 8.4, ('n51', 'n34'): 6.4, ('n51', 'n43'): 1.6, ('n51', 'n5'): 4.0, ('n39', 'n51'): 1.6, ('n51', 'n39'): 1.6, ('n10', 'n51'): 1.6, ('n7', 'n10'): 1.0, ('n5', 'n7'): 2.0, ('n5', 'n51'): 2.4000000000000004, ('n3', 'n34'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,9,54156,6.416,64,"{'n43': 2, 'n40': 20, 'n49': 30, 'n57': 4, 'n7': 2, 'n18': 20, 'n25': 104, 'n41': 2, 'n20': 150}","{('n40', 'n20'): 6.4, ('n49', 'n40'): 6.4, ('n43', 'n20'): 1.0, ('n49', 'n43'): 4.0, ('n49', 'n5'): 4.0, ('n25', 'n49'): 1.6, ('n49', 'n25'): 1.6, ('n41', 'n49'): 1.6, ('n57', 'n41'): 1.0, ('n25', 'n57'): 2.0, ('n7', 'n20'): 0.6000000000000001, ('n25', 'n7'): 2.4000000000000004, ('n18', 'n25'): 2.0, ('n3', 'n18'): 2.0}",-214.4839,0.0
