Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack,speakToMe,230.9327,4,55795,0.0107235,16,"{'n1': 38, 'n4': 46, 'n6': 50, 'n9': 200}","{('n4', 'n9'): 8.4, ('n1', 'n4'): 6.4, ('n1', 'n6'): 1.6, ('n1', 'n3'): 4.0, ('n4', 'n1'): 1.6, ('n9', 'n4'): 2.0, ('n9', 'n1'): 2.4000000000000004, ('n8', 'n4'): 2.0}",3.0173,72.1132
binpack_num,speakToMe,86.05130000000001,2,53800,0.010266454,16,"{'n8': 38, 'n5': 296}","{('n8', 'n5'): 10.0, ('n8', 'n3'): 4.0, ('n5', 'n8'): 4.0}",-160.2688,25.1613
ortools,speakToMe,223.9647,5,590,0.062,16,"{'n1': 38, 'n3': 44, 'n12': 2, 'n6': 50, 'n9': 200}","{('n3', 'n9'): 8.4, ('n1', 'n3'): 10.4, ('n1', 'n6'): 1.6, ('n12', 'n1'): 1.6, ('n3', 'n12'): 1.0, ('n9', 'n3'): 2.0, ('n9', 'n1'): 2.4000000000000004, ('n8', 'n3'): 2.0}",0.0,71.2456
ortools_num,speakToMe,64.3997,7,3564,1.062,16,"{'n15': 4, 'n11': 40, 'n3': 30, 'n4': 4, 'n0': 6, 'n5': 150, 'n13': 100}","{('n11', 'n5'): 6.4, ('n3', 'n11'): 6.4, ('n15', 'n5'): 1.6, ('n3', 'n15'): 4.0, ('n0', 'n3'): 3.2, ('n3', 'n0'): 1.6, ('n4', 'n0'): 1.0, ('n13', 'n4'): 2.0, ('n13', 'n15'): 2.4000000000000004, ('n11', 'n13'): 2.0, ('n8', 'n11'): 2.0}",-247.7729,0.0
binpack,speakToMe,230.9327,3,72392,0.013398947000000001,32,"{'n0': 38, 'n16': 96, 'n9': 200}","{('n16', 'n9'): 8.4, ('n0', 'n16'): 8.0, ('n0', 'n1'): 4.0, ('n16', 'n0'): 1.6, ('n9', 'n16'): 2.0, ('n9', 'n0'): 2.4000000000000004, ('n6', 'n16'): 2.0}",3.0173,72.1132
binpack_num,speakToMe,86.05130000000001,2,63930,0.011930559999999996,32,"{'n0': 38, 'n25': 296}","{('n0', 'n25'): 8.0, ('n0', 'n1'): 4.0, ('n25', 'n0'): 4.0, ('n6', 'n25'): 2.0}",-160.2688,25.1613
ortools,speakToMe,223.9647,6,1706,0.24,32,"{'n12': 34, 'n16': 44, 'n15': 4, 'n24': 2, 'n19': 50, 'n26': 200}","{('n16', 'n26'): 8.4, ('n12', 'n16'): 6.4, ('n12', 'n19'): 1.6, ('n12', 'n1'): 4.0, ('n15', 'n12'): 1.6, ('n12', 'n15'): 1.6, ('n24', 'n12'): 1.6, ('n16', 'n24'): 1.0, ('n26', 'n16'): 2.0, ('n26', 'n12'): 2.4000000000000004, ('n6', 'n16'): 2.0}",0.0,71.2456
ortools_num,speakToMe,64.3997,8,13772,3.718,32,"{'n19': 2, 'n5': 24, 'n16': 50, 'n12': 2, 'n18': 54, 'n30': 2, 'n10': 100, 'n1': 100}","{('n5', 'n10'): 6.4, ('n16', 'n5'): 6.4, ('n19', 'n18'): 1.0, ('n16', 'n19'): 4.0, ('n16', 'n1'): 6.0, ('n18', 'n16'): 1.6, ('n16', 'n18'): 1.6, ('n30', 'n16'): 1.6, ('n5', 'n30'): 1.0, ('n1', 'n5'): 2.0, ('n12', 'n18'): 0.6000000000000001, ('n1', 'n12'): 2.4000000000000004, ('n6', 'n16'): 2.0}",-247.7729,0.0
binpack,speakToMe,230.9327,4,120968,0.022105327999999994,64,"{'n56': 8, 'n15': 96, 'n49': 30, 'n30': 200}","{('n15', 'n30'): 8.4, ('n49', 'n15'): 6.4, ('n56', 'n15'): 1.6, ('n49', 'n56'): 5.6, ('n49', 'n4'): 4.0, ('n56', 'n49'): 1.6, ('n15', 'n49'): 1.6, ('n30', 'n15'): 2.0, ('n30', 'n56'): 2.4000000000000004, ('n3', 'n15'): 2.0}",3.0173,72.1132
binpack_num,speakToMe,86.05130000000001,2,86743,0.016312942999999996,64,"{'n49': 38, 'n30': 296}","{('n49', 'n30'): 8.0, ('n49', 'n4'): 4.0, ('n30', 'n49'): 4.0, ('n3', 'n30'): 2.0}",-160.2688,25.1613
