Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change
binpack_num.pl,distSecurity,21.7392,2,256473,0.08623110300000003,256,"{'n0': 12, 'n101': 75}","{('n0', 'n101'): 4.0, ('n101', 'n0'): 2.5, ('n5', 'n101'): 4.800000000000001, ('n6', 'n101'): 1.6}",-635.35364686833
ortools,distSecurity,159.86,4,24514,1.6,256,"{'n13': 2, 'n82': 55, 'n59': 10, 'n5': 20}","{('n13', 'n82'): 2.5, ('n82', 'n13'): 1.0, ('n59', 'n82'): 1.5, ('n5', 'n59'): 1.5, ('n5', 'n82'): 1.6, ('n6', 'n82'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,461318,20.265,256,"{'n240': 7, 'n198': 80}","{('n240', 'n198'): 2.5, ('n198', 'n240'): 5.5, ('n5', 'n198'): 4.800000000000001, ('n6', 'n198'): 1.6}",-635.5634288869462
binpack_num.pl,distSecurity,21.7392,2,858671,0.33585489699999993,512,"{'n99': 12, 'n505': 75}","{('n99', 'n505'): 4.0, ('n505', 'n99'): 2.5, ('n4', 'n505'): 1.6, ('n3', 'n505'): 1.6, ('n1', 'n505'): 1.6, ('n7', 'n505'): 1.6}",-635.35364686833
binpack.pl,distSecurity,159.86,5,11934767,1.7863755869999998,512,"{'n24': 2, 'n121': 5, 'n469': 10, 'n360': 20, 'n484': 50}","{('n24', 'n484'): 2.5, ('n121', 'n24'): 1.0, ('n484', 'n121'): 5.0, ('n469', 'n484'): 1.0, ('n469', 'n121'): 0.5, ('n360', 'n469'): 1.5, ('n4', 'n360'): 1.6, ('n3', 'n360'): 1.6, ('n1', 'n484'): 1.6, ('n7', 'n484'): 1.6}",0.0
ortools,distSecurity,159.86,4,82730,8.039,512,"{'n427': 2, 'n296': 55, 'n257': 10, 'n462': 20}","{('n427', 'n296'): 2.5, ('n296', 'n427'): 1.0, ('n257', 'n296'): 1.5, ('n462', 'n257'): 1.5, ('n4', 'n462'): 1.6, ('n3', 'n462'): 1.6, ('n1', 'n296'): 1.6, ('n7', 'n296'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1840134,83.998,512,"{'n427': 7, 'n237': 80}","{('n427', 'n237'): 2.5, ('n237', 'n427'): 5.5, ('n4', 'n237'): 1.6, ('n3', 'n237'): 1.6, ('n1', 'n237'): 1.6, ('n7', 'n237'): 1.6}",-635.5634288869462
binpack_num.pl,arFarming,46.68682,2,57317,0.010700615,16,"{'n8': 26, 'n14': 68}","{('n14', 'n2'): 18.0, ('n8', 'n14'): 44.1, ('n14', 'n8'): 20.0, ('n8', 'n0'): 1.0, ('n0', 'n8'): 24.0, ('n4', 'n8'): 4.0, ('n12', 'n8'): 3.2}"
ortools_num,arFarming,227.351,2,3402,1.774,16,"{'n15': 90, 'n0': 4}","{('n0', 'n2'): 18.0, ('n15', 'n0'): 13.0, ('n0', 'n15'): 24.0, ('n8', 'n15'): 8.0, ('n4', 'n15'): 4.0, ('n12', 'n15'): 3.2}"
binpack_num.pl,arFarming,46.68682,2,64485,0.011714271000000002,32,"{'n10': 26, 'n31': 68}","{('n31', 'n8'): 18.0, ('n10', 'n31'): 44.1, ('n31', 'n10'): 20.0, ('n10', 'n4'): 0.5, ('n10', 'n8'): 0.5, ('n4', 'n10'): 10.0, ('n8', 'n10'): 14.0, ('n0', 'n10'): 4.0, ('n2', 'n10'): 3.2, ('n7', 'n10'): 4.0, ('n1', 'n10'): 4.0}"
ortools_num,arFarming,227.351,2,12938,2.397,32,"{'n29': 90, 'n27': 4}","{('n27', 'n8'): 18.0, ('n29', 'n27'): 12.0, ('n29', 'n4'): 0.5, ('n29', 'n8'): 0.5, ('n4', 'n29'): 10.0, ('n8', 'n29'): 14.0, ('n0', 'n29'): 4.0, ('n2', 'n29'): 3.2, ('n7', 'n29'): 4.0, ('n1', 'n29'): 4.0}"
binpack_num.pl,arFarming,46.68682,2,84989,0.016171561,64,"{'n16': 26, 'n5': 68}","{('n5', 'n6'): 18.0, ('n16', 'n5'): 44.6, ('n5', 'n16'): 30.0, ('n16', 'n4'): 0.5, ('n4', 'n16'): 10.0, ('n3', 'n16'): 4.0, ('n6', 'n16'): 4.0, ('n1', 'n16'): 3.2, ('n7', 'n16'): 4.0, ('n9', 'n16'): 4.0}"
ortools_num,arFarming,227.351,2,50442,7.836,64,"{'n63': 90, 'n29': 4}","{('n29', 'n6'): 18.0, ('n63', 'n29'): 12.0, ('n63', 'n5'): 0.5, ('n63', 'n4'): 0.5, ('n5', 'n63'): 10.0, ('n4', 'n63'): 10.0, ('n3', 'n63'): 4.0, ('n6', 'n63'): 4.0, ('n1', 'n63'): 3.2, ('n7', 'n63'): 4.0, ('n9', 'n63'): 4.0}"
binpack_num.pl,arFarming,46.68682,2,164852,0.034109418,128,"{'n108': 26, 'n51': 68}","{('n51', 'n7'): 18.0, ('n108', 'n51'): 44.1, ('n51', 'n108'): 20.0, ('n108', 'n1'): 0.5, ('n108', 'n0'): 0.5, ('n1', 'n108'): 10.0, ('n0', 'n108'): 10.0, ('n6', 'n108'): 4.0, ('n7', 'n108'): 4.0, ('n4', 'n108'): 3.2, ('n2', 'n108'): 4.0, ('n3', 'n108'): 4.0}"
ortools_num,arFarming,227.351,2,199178,27.485,128,"{'n126': 90, 'n111': 4}","{('n111', 'n7'): 18.0, ('n126', 'n111'): 12.0, ('n126', 'n1'): 0.5, ('n126', 'n0'): 0.5, ('n1', 'n126'): 10.0, ('n0', 'n126'): 10.0, ('n6', 'n126'): 4.0, ('n7', 'n126'): 4.0, ('n4', 'n126'): 3.2, ('n2', 'n126'): 4.0, ('n3', 'n126'): 4.0}"
binpack_num.pl,arFarming,46.68682,2,416673,0.10199145999999992,256,"{'n172': 26, 'n101': 68}","{('n101', 'n3'): 18.0, ('n172', 'n101'): 44.1, ('n101', 'n172'): 20.0, ('n172', 'n6'): 0.5, ('n172', 'n3'): 0.5, ('n6', 'n172'): 10.0, ('n3', 'n172'): 10.0, ('n0', 'n172'): 4.0, ('n7', 'n172'): 8.0, ('n2', 'n172'): 3.2, ('n8', 'n172'): 4.0}"
ortools_num,arFarming,227.351,2,791562,197.237,256,"{'n237': 90, 'n182': 4}","{('n182', 'n3'): 18.0, ('n237', 'n182'): 12.0, ('n237', 'n6'): 0.5, ('n237', 'n3'): 0.5, ('n6', 'n237'): 10.0, ('n3', 'n237'): 10.0, ('n0', 'n237'): 4.0, ('n7', 'n237'): 8.0, ('n2', 'n237'): 3.2, ('n8', 'n237'): 4.0}"
binpack_num.pl,distSecurity,21.7392,2,45815,0.009573621000000001,16,"{'n13': 12, 'n14': 75}","{('n13', 'n14'): 4.0, ('n14', 'n13'): 2.5, ('n4', 'n14'): 1.6, ('n7', 'n14'): 1.6, ('n6', 'n14'): 1.6, ('n3', 'n14'): 1.6}",-955.0986236844042
binpack.pl,distSecurity,229.37,4,45345,0.009068953000000001,16,"{'n12': 2, 'n8': 25, 'n3': 10, 'n0': 50}","{('n12', 'n0'): 2.5, ('n8', 'n12'): 1.0, ('n0', 'n8'): 5.0, ('n3', 'n0'): 2.6, ('n3', 'n8'): 0.5, ('n8', 'n3'): 1.5, ('n4', 'n8'): 1.6, ('n7', 'n8'): 1.6, ('n6', 'n0'): 1.6}",0.0
ortools,distSecurity,229.37,4,219,0.014,16,"{'n7': 2, 'n8': 25, 'n3': 10, 'n0': 50}","{('n7', 'n0'): 2.5, ('n8', 'n7'): 1.0, ('n0', 'n8'): 5.0, ('n3', 'n0'): 2.6, ('n3', 'n8'): 0.5, ('n8', 'n3'): 1.5, ('n4', 'n8'): 1.6, ('n7', 'n8'): 1.6, ('n6', 'n0'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,1958,0.49,16,"{'n0': 7, 'n2': 80}","{('n0', 'n2'): 2.5, ('n2', 'n0'): 5.5, ('n4', 'n2'): 1.6, ('n7', 'n2'): 1.6, ('n6', 'n2'): 1.6, ('n3', 'n2'): 1.6}",-955.3996226935996
binpack_num.pl,distSecurity,21.7392,2,51040,0.010416531,32,"{'n2': 12, 'n0': 75}","{('n2', 'n0'): 5.6, ('n0', 'n2'): 2.5, ('n9', 'n0'): 1.6, ('n7', 'n0'): 1.6}",-1757.506255979981
ortools,distSecurity,403.807,4,513,0.025,32,"{'n29': 12, 'n13': 5, 'n8': 20, 'n10': 50}","{('n29', 'n10'): 3.5, ('n13', 'n29'): 1.0, ('n10', 'n13'): 5.0, ('n29', 'n13'): 0.5, ('n8', 'n29'): 1.5, ('n2', 'n8'): 1.6, ('n0', 'n8'): 1.6, ('n9', 'n10'): 1.6, ('n7', 'n10'): 1.6}",0.0
binpack.pl,distSecurity,403.90619999999996,4,1230345,0.170520067,32,"{'n12': 2, 'n10': 55, 'n19': 10, 'n8': 20}","{('n12', 'n10'): 2.5, ('n10', 'n12'): 1.0, ('n19', 'n10'): 1.5, ('n8', 'n19'): 1.5, ('n2', 'n8'): 1.6, ('n0', 'n8'): 1.6, ('n9', 'n10'): 1.6, ('n7', 'n10'): 1.6}",0.024560157779192137
ortools_num,distSecurity,21.733,2,7494,0.58,32,"{'n6': 7, 'n14': 80}","{('n6', 'n14'): 2.5, ('n14', 'n6'): 5.5, ('n2', 'n14'): 1.6, ('n0', 'n14'): 1.6, ('n9', 'n14'): 1.6, ('n7', 'n14'): 1.6}",-1758.0361661988682
binpack_num.pl,distSecurity,21.7392,2,61970,0.013695169000000007,64,"{'n26': 12, 'n34': 75}","{('n26', 'n34'): 4.0, ('n34', 'n26'): 2.5, ('n5', 'n34'): 3.2, ('n2', 'n34'): 1.6, ('n0', 'n34'): 1.6}",-1094.0641789946271
binpack.pl,distSecurity,259.58000000000004,3,55795,0.013684401999999998,64,"{'n57': 12, 'n53': 25, 'n62': 50}","{('n57', 'n62'): 3.5, ('n53', 'n57'): 2.5, ('n62', 'n53'): 5.0, ('n57', 'n53'): 0.5, ('n5', 'n53'): 1.6, ('n2', 'n53'): 1.6, ('n5', 'n62'): 1.6, ('n0', 'n62'): 1.6}",2.189822746775869e-14
ortools,distSecurity,259.58,3,1872,0.077,64,"{'n7': 12, 'n17': 55, 'n53': 20}","{('n7', 'n17'): 4.0, ('n17', 'n7'): 1.0, ('n53', 'n7'): 1.5, ('n5', 'n53'): 1.6, ('n2', 'n53'): 1.6, ('n5', 'n17'): 1.6, ('n0', 'n17'): 1.6}",0.0
ortools_num,distSecurity,21.733,2,29318,1.695,64,"{'n46': 7, 'n30': 80}","{('n46', 'n30'): 2.5, ('n30', 'n46'): 5.5, ('n5', 'n30'): 3.2, ('n2', 'n30'): 1.6, ('n0', 'n30'): 1.6}",-1094.404822159849
