Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack,speakToMe,773.5867000000002,5,55012,0.010433706999999999,16,"{'n7': 8, 'n14': 90, 'n0': 30, 'n11': 6, 'n8': 200}","{('n14', 'n8'): 8.4, ('n0', 'n14'): 6.4, ('n7', 'n14'): 1.6, ('n0', 'n7'): 5.6, ('n7', 'n0'): 1.6, ('n11', 'n0'): 1.6, ('n8', 'n11'): 2.0, ('n8', 'n7'): 2.4000000000000004, ('n6', 'n14'): 2.0}",0.0,91.6752
binpack_num,speakToMe,773.5867000000002,2,52403,0.010428627999999999,16,"{'n0': 38, 'n11': 296}","{('n0', 'n11'): 8.0, ('n11', 'n0'): 4.0, ('n6', 'n11'): 2.0}",0.0,91.6752
ortools,speakToMe,773.5867,4,471,0.02,16,"{'n7': 8, 'n14': 292, 'n0': 30, 'n12': 4}","{('n0', 'n14'): 6.4, ('n7', 'n14'): 1.6, ('n0', 'n7'): 5.6, ('n7', 'n0'): 1.6, ('n14', 'n0'): 1.6, ('n12', 'n14'): 1.0, ('n14', 'n12'): 2.0, ('n14', 'n7'): 2.4000000000000004, ('n6', 'n14'): 2.0}",0.0,91.6752
ortools_num,speakToMe,64.3997,6,3564,0.661,16,"{'n10': 24, 'n4': 20, 'n8': 30, 'n12': 4, 'n3': 54, 'n5': 202}","{('n4', 'n5'): 6.4, ('n8', 'n4'): 6.4, ('n10', 'n3'): 1.6, ('n8', 'n10'): 4.0, ('n8', 'n0'): 4.0, ('n3', 'n8'): 1.6, ('n8', 'n3'): 1.6, ('n5', 'n8'): 1.6, ('n12', 'n5'): 1.0, ('n5', 'n12'): 2.0, ('n5', 'n10'): 2.4000000000000004, ('n10', 'n5'): 2.0, ('n6', 'n10'): 2.0}",-1101.2272,0.0
binpack_num,speakToMe,86.05130000000001,2,60787,0.011255708000000003,32,"{'n17': 38, 'n12': 296}","{('n17', 'n12'): 8.0, ('n17', 'n5'): 4.0, ('n12', 'n17'): 4.0, ('n1', 'n12'): 2.0}",-798.9832,25.1613
binpack,speakToMe,773.5867000000002,5,63561,0.012438730999999998,32,"{'n31': 8, 'n2': 42, 'n17': 30, 'n19': 204, 'n9': 50}","{('n2', 'n19'): 8.4, ('n17', 'n2'): 6.4, ('n31', 'n9'): 1.6, ('n17', 'n31'): 5.6, ('n17', 'n5'): 4.0, ('n31', 'n17'): 1.6, ('n2', 'n17'): 1.6, ('n19', 'n2'): 1.0, ('n19', 'n31'): 2.4000000000000004, ('n1', 'n2'): 2.0}",0.0,91.6752
ortools,speakToMe,773.5867,5,1423,0.072,32,"{'n5': 34, 'n24': 42, 'n19': 4, 'n31': 4, 'n9': 250}","{('n24', 'n9'): 8.4, ('n5', 'n24'): 6.4, ('n5', 'n9'): 1.6, ('n31', 'n5'): 1.6, ('n5', 'n31'): 1.6, ('n24', 'n5'): 1.6, ('n19', 'n24'): 1.0, ('n9', 'n19'): 2.0, ('n9', 'n5'): 2.4000000000000004, ('n1', 'n24'): 2.0}",0.0,91.6752
ortools_num,speakToMe,64.3997,10,13772,2.93,32,"{'n25': 2, 'n19': 20, 'n17': 30, 'n5': 4, 'n2': 2, 'n18': 20, 'n10': 4, 'n3': 52, 'n30': 100, 'n16': 100}","{('n19', 'n30'): 6.4, ('n17', 'n19'): 6.4, ('n25', 'n3'): 1.0, ('n17', 'n25'): 4.0, ('n17', 'n5'): 4.0, ('n10', 'n17'): 1.6, ('n17', 'n10'): 1.6, ('n3', 'n17'): 1.6, ('n5', 'n3'): 1.0, ('n16', 'n5'): 2.0, ('n2', 'n3'): 0.6000000000000001, ('n16', 'n2'): 2.4000000000000004, ('n18', 'n16'): 2.0, ('n1', 'n18'): 2.0}",-1101.2272,0.0
binpack_num,speakToMe,86.05130000000001,2,85118,0.016042938999999992,64,"{'n1': 38, 'n12': 296}","{('n1', 'n12'): 8.0, ('n1', 'n2'): 4.0, ('n12', 'n1'): 4.0, ('n4', 'n12'): 2.0}",-135.3558,25.1613
binpack,speakToMe,223.97790000000003,3,103675,0.018848686000000003,64,"{'n5': 38, 'n52': 90, 'n54': 206}","{('n52', 'n54'): 8.4, ('n5', 'n52'): 8.0, ('n5', 'n2'): 4.0, ('n54', 'n5'): 4.0, ('n4', 'n52'): 2.0}",9.5774,71.2473
