Version,App,Cost,Bins,Infs,Time,Size,AllocHW,AllocBW,Change,Change_num
binpack_num,speakToMe,86.05130000000001,2,54358,0.010543255999999999,16,"{'n5': 38, 'n7': 296}","{('n5', 'n7'): 8.0, ('n7', 'n5'): 4.0}",-168.3663,25.1613
binpack,speakToMe,230.9327,4,55851,0.011215277,16,"{'n8': 38, 'n10': 46, 'n3': 50, 'n13': 200}","{('n10', 'n13'): 8.4, ('n8', 'n10'): 6.4, ('n8', 'n3'): 1.6, ('n8', 'n5'): 4.0, ('n10', 'n8'): 1.6, ('n13', 'n10'): 2.0, ('n13', 'n8'): 2.4000000000000004, ('n7', 'n10'): 2.0}",0.0,72.1132
ortools,speakToMe,230.9327,5,409,0.031,16,"{'n8': 38, 'n10': 42, 'n14': 4, 'n3': 50, 'n15': 200}","{('n10', 'n15'): 8.4, ('n8', 'n10'): 6.4, ('n8', 'n3'): 1.6, ('n8', 'n5'): 4.0, ('n10', 'n8'): 1.6, ('n14', 'n10'): 1.0, ('n15', 'n14'): 2.0, ('n15', 'n8'): 2.4000000000000004, ('n7', 'n10'): 2.0}",0.0,72.1132
ortools_num,speakToMe,64.3997,6,3564,2.345,16,"{'n5': 2, 'n9': 52, 'n6': 24, 'n7': 6, 'n0': 50, 'n13': 200}","{('n9', 'n13'): 6.4, ('n5', 'n0'): 1.0, ('n9', 'n5'): 8.0, ('n7', 'n9'): 3.2, ('n9', 'n7'): 1.6, ('n6', 'n7'): 1.0, ('n13', 'n6'): 2.0, ('n9', 'n0'): 0.6000000000000001, ('n13', 'n9'): 2.4000000000000004, ('n6', 'n13'): 2.0, ('n7', 'n6'): 2.0}",-258.5928,0.0
binpack,speakToMe,773.5867000000002,4,63829,0.012337420000000002,32,"{'n15': 8, 'n31': 92, 'n19': 30, 'n7': 204}","{('n31', 'n7'): 8.4, ('n19', 'n31'): 6.4, ('n15', 'n31'): 1.6, ('n19', 'n15'): 5.6, ('n19', 'n6'): 4.0, ('n15', 'n19'): 1.6, ('n31', 'n19'): 1.6, ('n7', 'n31'): 3.0, ('n7', 'n15'): 2.4000000000000004}",0.9007,91.6752
binpack_num,speakToMe,86.05130000000001,2,59352,0.011758051000000002,32,"{'n19': 38, 'n20': 296}","{('n19', 'n20'): 8.0, ('n19', 'n6'): 4.0, ('n20', 'n19'): 4.0, ('n7', 'n20'): 2.0}",-790.8857,25.1613
ortools,speakToMe,766.6187,6,1056,0.165,32,"{'n4': 2, 'n31': 290, 'n19': 32, 'n7': 4, 'n15': 4, 'n1': 2}","{('n19', 'n31'): 7.0, ('n4', 'n31'): 1.0, ('n19', 'n4'): 4.0, ('n19', 'n6'): 4.0, ('n15', 'n19'): 1.6, ('n19', 'n15'): 1.6, ('n1', 'n19'): 1.6, ('n7', 'n1'): 1.0, ('n31', 'n7'): 2.0, ('n31', 'n19'): 2.4000000000000004, ('n7', 'n31'): 2.0}",0.0,91.5995
ortools_num,speakToMe,64.3997,7,13772,3.908,32,"{'n25': 32, 'n3': 24, 'n7': 2, 'n11': 20, 'n24': 56, 'n14': 100, 'n0': 100}","{('n3', 'n14'): 6.4, ('n25', 'n3'): 6.4, ('n25', 'n24'): 2.6, ('n25', 'n6'): 4.0, ('n24', 'n25'): 3.2, ('n3', 'n24'): 1.0, ('n0', 'n3'): 2.0, ('n7', 'n24'): 0.6000000000000001, ('n0', 'n7'): 2.4000000000000004, ('n11', 'n0'): 2.0, ('n7', 'n11'): 2.0}",-1090.4073,0.0
binpack,speakToMe,230.94590000000002,3,115900,0.020908019,64,"{'n31': 38, 'n62': 92, 'n1': 204}","{('n62', 'n1'): 8.4, ('n31', 'n62'): 8.0, ('n31', 'n2'): 4.0, ('n62', 'n31'): 1.6, ('n1', 'n62'): 3.0, ('n1', 'n31'): 2.4000000000000004}",12.3056,72.1148
binpack_num,speakToMe,86.05130000000001,2,92355,0.01672925,64,"{'n31': 38, 'n55': 296}","{('n31', 'n55'): 8.0, ('n31', 'n2'): 4.0, ('n55', 'n31'): 4.0, ('n1', 'n55'): 2.0}",-135.3558,25.1613
ortools,speakToMe,202.5267,6,5041,1.0,64,"{'n51': 34, 'n20': 40, 'n47': 54, 'n36': 4, 'n58': 2, 'n42': 200}","{('n20', 'n42'): 8.4, ('n51', 'n20'): 6.4, ('n51', 'n47'): 1.6, ('n51', 'n2'): 4.0, ('n36', 'n51'): 1.6, ('n51', 'n36'): 1.6, ('n58', 'n51'): 1.6, ('n47', 'n58'): 1.0, ('n42', 'n47'): 2.0, ('n42', 'n51'): 2.4000000000000004, ('n1', 'n20'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,9,54156,9.061,64,"{'n26': 22, 'n45': 30, 'n7': 4, 'n47': 2, 'n61': 20, 'n42': 54, 'n40': 2, 'n8': 100, 'n15': 100}","{('n26', 'n8'): 6.4, ('n45', 'n26'): 10.4, ('n26', 'n42'): 1.0, ('n45', 'n2'): 4.0, ('n42', 'n45'): 1.6, ('n45', 'n42'): 1.6, ('n40', 'n45'): 1.6, ('n7', 'n40'): 1.0, ('n15', 'n7'): 2.0, ('n47', 'n42'): 0.6000000000000001, ('n15', 'n47'): 2.4000000000000004, ('n61', 'n15'): 2.0, ('n1', 'n61'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,174869,0.035087358999999985,128,"{'n14': 38, 'n86': 296}","{('n14', 'n86'): 8.0, ('n14', 'n8'): 4.0, ('n86', 'n14'): 4.0, ('n9', 'n86'): 2.0}",-135.3558,25.1613
binpack,speakToMe,209.63030000000003,4,319378,0.058192122999999985,128,"{'n116': 8, 'n110': 96, 'n14': 30, 'n86': 200}","{('n110', 'n86'): 8.4, ('n14', 'n110'): 6.4, ('n116', 'n110'): 1.6, ('n14', 'n116'): 5.6, ('n14', 'n8'): 4.0, ('n116', 'n14'): 1.6, ('n110', 'n14'): 1.6, ('n86', 'n110'): 2.0, ('n86', 'n116'): 2.4000000000000004, ('n9', 'n110'): 2.0}",3.3886,69.2794
ortools,speakToMe,202.5267,4,27491,3.157,128,"{'n87': 34, 'n119': 94, 'n124': 4, 'n56': 202}","{('n119', 'n56'): 9.4, ('n87', 'n119'): 8.0, ('n87', 'n8'): 4.0, ('n124', 'n87'): 1.6, ('n87', 'n124'): 1.6, ('n56', 'n87'): 4.0, ('n56', 'n119'): 2.0, ('n9', 'n119'): 2.0}",0.0,68.2019
ortools_num,speakToMe,64.3997,8,214796,30.784,128,"{'n104': 2, 'n0': 50, 'n3': 4, 'n26': 2, 'n4': 20, 'n64': 56, 'n99': 100, 'n115': 100}","{('n0', 'n99'): 6.4, ('n104', 'n64'): 1.0, ('n0', 'n104'): 4.0, ('n0', 'n8'): 4.0, ('n64', 'n0'): 3.2, ('n0', 'n64'): 1.6, ('n3', 'n64'): 1.0, ('n115', 'n3'): 2.0, ('n26', 'n64'): 0.6000000000000001, ('n115', 'n26'): 2.4000000000000004, ('n4', 'n115'): 2.0, ('n9', 'n4'): 2.0}",-214.4839,0.0
binpack_num,speakToMe,86.05130000000001,2,486625,0.1092850620000001,256,"{'n254': 38, 'n230': 296}","{('n254', 'n230'): 8.0, ('n254', 'n8'): 4.0, ('n230', 'n254'): 4.0, ('n1', 'n230'): 2.0}",-135.3558,25.1613
