MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
4,distSecurity,0.013,52.289,4,268,16,"({'mainDB': 'n14', 'detector': 'n0', 'recognizer': 'n13', 'traje': 'n0', 'logger': 'n6'},)"
5,distSecurity,0.013,52.289,4,268,16,"({'mainDB': 'n14', 'detector': 'n0', 'recognizer': 'n13', 'traje': 'n0', 'logger': 'n6'},)"
3,distSecurity,0.028,93.2098,3,801,32,"({'mainDB': 'n16', 'detector': 'n13', 'recognizer': 'n3', 'traje': 'n13', 'logger': 'n3'},)"
4,distSecurity,0.029,49.453,4,801,32,"({'mainDB': 'n16', 'detector': 'n13', 'recognizer': 'n0', 'traje': 'n13', 'logger': 'n19'},)"
5,distSecurity,0.029,49.453,5,801,32,"({'mainDB': 'n16', 'detector': 'n13', 'recognizer': 'n0', 'traje': 'n21', 'logger': 'n19'},)"
2,distSecurity,0.101,104.5668,2,3258,64,"({'mainDB': 'n29', 'detector': 'n29', 'recognizer': 'n36', 'traje': 'n29', 'logger': 'n36'},)"
3,distSecurity,0.102,49.935,3,3258,64,"({'mainDB': 'n58', 'detector': 'n40', 'recognizer': 'n36', 'traje': 'n40', 'logger': 'n36'},)"
4,distSecurity,0.101,21.7382,4,3258,64,"({'mainDB': 'n58', 'detector': 'n40', 'recognizer': 'n3', 'traje': 'n40', 'logger': 'n35'},)"
5,distSecurity,0.101,21.733,5,3258,64,"({'mainDB': 'n58', 'detector': 'n40', 'recognizer': 'n3', 'traje': 'n32', 'logger': 'n35'},)"
2,distSecurity,0.405,42.6291,2,12156,128,"({'mainDB': 'n127', 'detector': 'n127', 'recognizer': 'n114', 'traje': 'n127', 'logger': 'n114'},)"
3,distSecurity,0.404,24.6127,3,12156,128,"({'mainDB': 'n59', 'detector': 'n102', 'recognizer': 'n114', 'traje': 'n102', 'logger': 'n114'},)"
4,distSecurity,0.404,21.7382,4,12156,128,"({'mainDB': 'n59', 'detector': 'n110', 'recognizer': 'n121', 'traje': 'n110', 'logger': 'n103'},)"
5,distSecurity,0.404,21.733,5,12156,128,"({'mainDB': 'n105', 'detector': 'n71', 'recognizer': 'n121', 'traje': 'n10', 'logger': 'n39'},)"
2,distSecurity,1.521,39.7556,2,39618,256,"({'mainDB': 'n86', 'detector': 'n86', 'recognizer': 'n230', 'traje': 'n86', 'logger': 'n230'},)"
3,distSecurity,1.478,21.7392,3,39618,256,"({'mainDB': 'n245', 'detector': 'n0', 'recognizer': 'n182', 'traje': 'n0', 'logger': 'n182'},)"
4,distSecurity,1.538,21.734,4,39618,256,"({'mainDB': 'n245', 'detector': 'n169', 'recognizer': 'n230', 'traje': 'n96', 'logger': 'n230'},)"
5,distSecurity,1.474,21.733,5,39618,256,"({'mainDB': 'n63', 'detector': 'n0', 'recognizer': 'n182', 'traje': 'n130', 'logger': 'n87'},)"
2,arFarming,14.345,490.5428,2,327246,512,"({'mainDB': 'n100', 'imgQueue': 'n68', 'snsQueue': 'n68', 'ctrlQueue': 'n68', 'recognizer': 'n100', 'visualizer': 'n100', 'calibre': 'n68', 'rectify': 'n100', 'roiSel': 'n68'},)"
3,arFarming,14.941,20.0442,3,327246,512,"({'mainDB': 'n329', 'imgQueue': 'n425', 'snsQueue': 'n425', 'ctrlQueue': 'n425', 'recognizer': 'n24', 'visualizer': 'n329', 'calibre': 'n425', 'rectify': 'n24', 'roiSel': 'n425'},)"
4,arFarming,15.123,20.0288,4,327246,512,"({'mainDB': 'n107', 'imgQueue': 'n0', 'snsQueue': 'n0', 'ctrlQueue': 'n0', 'recognizer': 'n24', 'visualizer': 'n24', 'calibre': 'n295', 'rectify': 'n107', 'roiSel': 'n295'},)"
5,arFarming,14.427,20.016,5,327246,512,"({'mainDB': 'n199', 'imgQueue': 'n334', 'snsQueue': 'n334', 'ctrlQueue': 'n334', 'recognizer': 'n414', 'visualizer': 'n199', 'calibre': 'n358', 'rectify': 'n160', 'roiSel': 'n358'},)"
6,arFarming,14.759,20.016,6,327246,512,"({'mainDB': 'n199', 'imgQueue': 'n0', 'snsQueue': 'n0', 'ctrlQueue': 'n150', 'recognizer': 'n414', 'visualizer': 'n199', 'calibre': 'n209', 'rectify': 'n47', 'roiSel': 'n209'},)"
7,arFarming,14.862,20.016,7,327246,512,"({'mainDB': 'n199', 'imgQueue': 'n334', 'snsQueue': 'n334', 'ctrlQueue': 'n150', 'recognizer': 'n414', 'visualizer': 'n199', 'calibre': 'n358', 'rectify': 'n47', 'roiSel': 'n209'},)"
8,arFarming,14.893,20.016,8,327246,512,"({'mainDB': 'n199', 'imgQueue': 'n425', 'snsQueue': 'n334', 'ctrlQueue': 'n150', 'recognizer': 'n414', 'visualizer': 'n199', 'calibre': 'n358', 'rectify': 'n47', 'roiSel': 'n209'},)"
9,arFarming,14.55,20.016,9,327246,512,"({'mainDB': 'n380', 'imgQueue': 'n425', 'snsQueue': 'n334', 'ctrlQueue': 'n150', 'recognizer': 'n414', 'visualizer': 'n329', 'calibre': 'n358', 'rectify': 'n47', 'roiSel': 'n209'},)"
2,speakToMe,16.237,124.6836,2,411907,512,"({'textBucket': 'n213', 'audioBucket': 'n213', 'mainDB': 'n213', 'postQueue': 'n213', 'converter': 'n265', 'uploadPost': 'n213', 'metaPost': 'n265', 'publishPost': 'n213', 'convertTxt': 'n265', 'uploadAudio': 'n213', 'metaAudio': 'n265'},)"
3,speakToMe,15.996,64.9858,3,411907,512,"({'textBucket': 'n107', 'audioBucket': 'n107', 'mainDB': 'n107', 'postQueue': 'n107', 'converter': 'n265', 'uploadPost': 'n87', 'metaPost': 'n265', 'publishPost': 'n87', 'convertTxt': 'n265', 'uploadAudio': 'n87', 'metaAudio': 'n265'},)"
4,speakToMe,15.927,64.3997,4,411907,512,"({'textBucket': 'n107', 'audioBucket': 'n107', 'mainDB': 'n107', 'postQueue': 'n107', 'converter': 'n17', 'uploadPost': 'n3', 'metaPost': 'n109', 'publishPost': 'n3', 'convertTxt': 'n109', 'uploadAudio': 'n3', 'metaAudio': 'n109'},)"
5,speakToMe,16.37,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
6,speakToMe,16.055,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
7,speakToMe,16.089,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
8,speakToMe,16.144,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
9,speakToMe,15.828,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
10,speakToMe,16.026,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
11,speakToMe,15.817,64.3997,5,411907,512,"({'textBucket': 'n322', 'audioBucket': 'n322', 'mainDB': 'n322', 'postQueue': 'n43', 'converter': 'n176', 'uploadPost': 'n366', 'metaPost': 'n216', 'publishPost': 'n366', 'convertTxt': 'n216', 'uploadAudio': 'n366', 'metaAudio': 'n216'},)"
2,distSecurity,7.268,42.6291,2,167132,512,"({'mainDB': 'n389', 'detector': 'n389', 'recognizer': 'n375', 'traje': 'n389', 'logger': 'n375'},)"
3,distSecurity,7.372,24.6127,3,167132,512,"({'mainDB': 'n107', 'detector': 'n263', 'recognizer': 'n225', 'traje': 'n263', 'logger': 'n225'},)"
4,distSecurity,7.475,21.7382,4,167132,512,"({'mainDB': 'n107', 'detector': 'n37', 'recognizer': 'n0', 'traje': 'n37', 'logger': 'n249'},)"
5,distSecurity,7.275,21.733,5,167132,512,"({'mainDB': 'n322', 'detector': 'n197', 'recognizer': 'n0', 'traje': 'n366', 'logger': 'n216'},)"
