MaxBins,App,Time,Cost,NDistinct,Infs,Size,Placement
9,arFarming,0.207,20.016,6,5898,64,"({'mainDB': 'n58', 'imgQueue': 'n3', 'snsQueue': 'n3', 'ctrlQueue': 'n3', 'recognizer': 'n40', 'visualizer': 'n60', 'calibre': 'n26', 'rectify': 'n32', 'roiSel': 'n26'},)"
2,arFarming,0.846,490.5428,2,21303,128,"({'mainDB': 'n9', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n9', 'visualizer': 'n9', 'calibre': 'n85', 'rectify': 'n9', 'roiSel': 'n85'},)"
3,arFarming,0.844,20.0442,3,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n110', 'visualizer': 'n110', 'calibre': 'n85', 'rectify': 'n110', 'roiSel': 'n85'},)"
4,arFarming,0.848,20.0288,4,21303,128,"({'mainDB': 'n105', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n110', 'visualizer': 'n110', 'calibre': 'n2', 'rectify': 'n105', 'roiSel': 'n2'},)"
5,arFarming,0.89,20.016,5,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n110', 'visualizer': 'n110', 'calibre': 'n48', 'rectify': 'n44', 'roiSel': 'n48'},)"
6,arFarming,0.845,20.016,6,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n102', 'visualizer': 'n67', 'calibre': 'n48', 'rectify': 'n44', 'roiSel': 'n48'},)"
7,arFarming,0.848,20.016,7,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n85', 'snsQueue': 'n85', 'ctrlQueue': 'n85', 'recognizer': 'n102', 'visualizer': 'n67', 'calibre': 'n123', 'rectify': 'n44', 'roiSel': 'n1'},)"
8,arFarming,0.838,20.016,8,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n73', 'snsQueue': 'n85', 'ctrlQueue': 'n73', 'recognizer': 'n102', 'visualizer': 'n67', 'calibre': 'n123', 'rectify': 'n44', 'roiSel': 'n1'},)"
9,arFarming,0.847,20.016,8,21303,128,"({'mainDB': 'n59', 'imgQueue': 'n73', 'snsQueue': 'n85', 'ctrlQueue': 'n73', 'recognizer': 'n102', 'visualizer': 'n67', 'calibre': 'n123', 'rectify': 'n44', 'roiSel': 'n1'},)"
2,speakToMe,0.024,1823.6122,2,642,16,"({'textBucket': 'n10', 'audioBucket': 'n10', 'mainDB': 'n10', 'postQueue': 'n10', 'converter': 'n13', 'uploadPost': 'n10', 'metaPost': 'n13', 'publishPost': 'n10', 'convertTxt': 'n13', 'uploadAudio': 'n10', 'metaAudio': 'n13'},)"
