Version,TimeAvg,TimeMin,TimeMax,BinsAvg,BinsMin,BinsMax,ChangeAvg,ChangeMin,ChangeMax,Change_numAvg,Change_numMin,Change_numMax
EdgeWise,13.093760869565218,0.02,87.07,5.956521739130435,4,7,0.0,0.0,0.0,,,
MILP,134.01023404255318,0.661,916.149,8.063829787234043,3,10,,,,0.0,0.0,0.0
declarative,0.19209851889977259,0.010311681,0.8137723270000006,3.977272727272727,3,5,6.2954159090909085,0.0,12.3056,,,
declarative (num),0.1001992742083333,0.0099905239999999,0.426603767,2.0,2,2,,,,26.576489361702127,25.1613,91.6752
